# ---------------------------------- Disclaimer -----------------------------------------,,,,,,,
# The reservoir data contained in this file are best estimates generated by the Texas    ,,,,,,,
# Water Development Board(TWDB) using data collected by various data providers as well   ,,,,,,,
# as by TWDB. For a detailed explaination of the methodology used please visit:          ,,,,,,,
#                                                                                        ,,,,,,,
#     http://waterdatafortexas.org/reservoirs/methodology                                ,,,,,,,
#                                                                                        ,,,,,,,
# TWDB makes no warranties(including no warranties as to merchantability or fitness)     ,,,,,,,
# either expressed or implied with respect to the data or its fitness for any specific   ,,,,,,,
# application.                                                                           ,,,,,,,
# ---------------------------------------------------------------------------------------,,,,,,,
# ,,,,,,,
# Definitions:,,,,,,,
#     reservoir_storage = actual storage at measured lake elevation,,,,,,,
#     dead_pool_capacity = storage at dead pool elevation,,,,,,,
#     conservation_capacity = storage at conservation pool elevation - dead pool capacity,,,,,,,
#     conservation_storage = reservoir storage - dead pool capacity (note: conservation storage is capped at conservation capacity),,,,,,,
#     percent_full = 100 * conservation storage/conservation capacity,,,,,,,
# ,,,,,,,
#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary,,,,,,,
# ,,,,,,,
# Estimated daily average data for Elephant Butte Lake,,,,,,,
#     generated: 2023-03-31T21:24:54.480746 UTC,,,,,,,
#     url: https://waterdatafortexas.org/reservoirs/individual/elephant-butte.csv,,,,,,,
# ,,,,,,,
# Footnote:,,,,,,,
#     ,,,,,,,
#         Elephant Butte Lake (located in New Mexico) is governed by the Rio Grande,,,,,,,
#         Compact. The Rio Grande Compact is an interstate compact signed in 1938,,,,,,,
"#         between the states of Colorado, New Mexico and Texas and approved by the",,,,,,,
"#         U.S. Congress, to equitably apportion the waters of the Rio Grande Basin.",,,,,,,
#         Water from the lake supplies irrigation water as well as a portion of El,,,,,,,
#         Paso's supply when available.,,,,,,,
#     ,,,,,,,
# ,,,,,,,
# Elevation-Area-Capacity rating curve(s) used:,,,,,,,
#     https://waterdatafortexas.org/reservoirs/individual/elephant-butte/rating-curve/USBR/2019-11-01,,,,,,,
# ,,,,,,,
# Conservation pool elevation(s) used:,,,,,,,
#     4407.0 feet above NGVD29 -43.3 (End date: 2020-01-01),,,,,,,
#     4406.297704 feet above NGVD29 -43.3 (Start date to end date: 2020-01-01 to 2020-04-01),,,,,,,
"#     4405.587736 feet above NGVD29 -43.3 (Start date: 2020-04-01, Seasonal: April 1 to October 1)",,,,,,,
"#     4406.297704 feet above NGVD29 -43.3 (Start date: 2020-04-01, Seasonal: October 1 to April 1)",,,,,,,
# ,,,,,,,
# Dead pool elevation(s) used:,,,,,,,
#     4231.5 feet above NGVD29 -43.3,,,,,,,
# ,,,,,,,
# Vertical datum(s) used:,,,,,,,
#     NGVD29 -43.3,,,,,,,
# ,,,,,,,
# Units:,,,,,,,
#     date: YYYY-MM-DD,,,,,,,
#     water_level: feet above vertical datum,,,,,,,
#     surface_area: acres,,,,,,,
#     storages: acre-feet,,,,,,,
# ,,,,,,,
# ,,,,,,,
date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1/1/1916,4307.7,6755.45,161953,161953,8.1,2010900,0
1/2/1916,4307.7,6755.45,161953,161953,8.1,2010900,0
1/3/1916,4307.7,6755.45,161953,161953,8.1,2010900,0
1/4/1916,4307.9,6789.12,163307,163307,8.1,2010900,0
1/5/1916,4308.1,6822.96,164668,164668,8.2,2010900,0
1/6/1916,4308.2,6839.97,165352,165352,8.2,2010900,0
1/7/1916,4308.3,6856.98,166036,166036,8.3,2010900,0
1/8/1916,4308.3,6856.98,166036,166036,8.3,2010900,0
1/9/1916,4308.5,6891,167411,167411,8.3,2010900,0
1/10/1916,4308.6,6908,168101,168101,8.4,2010900,0
1/11/1916,4308.7,6925.01,168793,168793,8.4,2010900,0
1/12/1916,4308.7,6925.01,168793,168793,8.4,2010900,0
1/13/1916,4308.8,6942.02,169486,169486,8.4,2010900,0
1/14/1916,4308.9,6959.03,170181,170181,8.5,2010900,0
1/15/1916,4309,6976.04,170878,170878,8.5,2010900,0
1/16/1916,4309.1,6993.05,171576,171576,8.5,2010900,0
1/17/1916,4309.3,7027.06,172978,172978,8.6,2010900,0
1/18/1916,4309.4,7044.07,173682,173682,8.6,2010900,0
1/19/1916,4309.5,7061.08,174387,174387,8.7,2010900,0
1/20/1916,4309.7,7095.1,175803,175803,8.7,2010900,0
1/21/1916,4310,7146.12,177939,177939,8.8,2010900,0
1/22/1916,4310.3,7193.4,180090,180090,9,2010900,0
1/23/1916,4310.6,7240.68,182255,182255,9.1,2010900,0
1/24/1916,4310.9,7287.96,184434,184434,9.2,2010900,0
1/25/1916,4311.1,7319.47,185895,185895,9.2,2010900,0
1/26/1916,4311.3,7350.99,187362,187362,9.3,2010900,0
1/27/1916,4311.4,7366.75,188098,188098,9.4,2010900,0
1/28/1916,4311.5,7382.51,188836,188836,9.4,2010900,0
1/29/1916,4311.6,7398.27,189575,189575,9.4,2010900,0
1/30/1916,4311.7,7414.03,190315,190315,9.5,2010900,0
1/31/1916,4311.9,7445.55,191801,191801,9.5,2010900,0
2/1/1916,4312.1,7480.3,193294,193294,9.6,2010900,0
2/2/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
2/3/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
2/4/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
2/5/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
2/6/1916,4312.1,7480.3,193294,193294,9.6,2010900,0
2/7/1916,4312.1,7480.3,193294,193294,9.6,2010900,0
2/8/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
2/9/1916,4312.3,7518.28,194793,194793,9.7,2010900,0
2/10/1916,4312.3,7518.28,194793,194793,9.7,2010900,0
2/11/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
2/12/1916,4312.1,7480.3,193294,193294,9.6,2010900,0
2/13/1916,4312,7461.31,192546,192546,9.6,2010900,0
2/14/1916,4312,7461.31,192546,192546,9.6,2010900,0
2/15/1916,4311.9,7445.55,191801,191801,9.5,2010900,0
2/16/1916,4311.9,7445.55,191801,191801,9.5,2010900,0
2/17/1916,4311.8,7429.79,191057,191057,9.5,2010900,0
2/18/1916,4311.9,7445.55,191801,191801,9.5,2010900,0
2/19/1916,4311.8,7429.79,191057,191057,9.5,2010900,0
2/20/1916,4311.8,7429.79,191057,191057,9.5,2010900,0
2/21/1916,4311.8,7429.79,191057,191057,9.5,2010900,0
2/22/1916,4311.9,7445.55,191801,191801,9.5,2010900,0
2/23/1916,4311.9,7445.55,191801,191801,9.5,2010900,0
2/24/1916,4311.9,7445.55,191801,191801,9.5,2010900,0
2/25/1916,4312,7461.31,192546,192546,9.6,2010900,0
2/26/1916,4312.1,7480.3,193294,193294,9.6,2010900,0
2/27/1916,4312.1,7480.3,193294,193294,9.6,2010900,0
2/28/1916,4312.1,7480.3,193294,193294,9.6,2010900,0
2/29/1916,,,20.2,2010900,0,,
3/1/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
3/2/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
3/3/1916,4312.2,7499.29,194043,194043,9.6,2010900,0
3/4/1916,4312.3,7518.28,194793,194793,9.7,2010900,0
3/5/1916,4312.4,7537.27,195546,195546,9.7,2010900,0
3/6/1916,4312.5,7556.26,196301,196301,9.8,2010900,0
3/7/1916,4312.6,7575.25,197057,197057,9.8,2010900,0
3/8/1916,4312.6,7575.25,197057,197057,9.8,2010900,0
3/9/1916,4312.5,7556.26,196301,196301,9.8,2010900,0
3/10/1916,4312.5,7556.26,196301,196301,9.8,2010900,0
3/11/1916,4312.6,7575.25,197057,197057,9.8,2010900,0
3/12/1916,4312.7,7594.24,197816,197816,9.8,2010900,0
3/13/1916,4312.7,7594.24,197816,197816,9.8,2010900,0
3/14/1916,4312.7,7594.24,197816,197816,9.8,2010900,0
3/15/1916,4312.7,7594.24,197816,197816,9.8,2010900,0
3/16/1916,4313,7651.22,200103,200103,10,2010900,0
3/17/1916,4313.2,7689.2,201637,201637,10,2010900,0
3/18/1916,4313.5,7746.17,203952,203952,10.1,2010900,0
3/19/1916,4313.8,7803.14,206284,206284,10.3,2010900,0
3/20/1916,4314,7841.13,207849,207849,10.3,2010900,0
3/21/1916,4314.3,7897.56,210210,210210,10.5,2010900,0
3/22/1916,4314.7,7972.78,213384,213384,10.6,2010900,0
3/23/1916,4315,8029.2,215784,215784,10.7,2010900,0
3/24/1916,4315.7,8160.84,221451,221451,11,2010900,0
3/25/1916,4316.6,8334.13,228873,228873,11.4,2010900,0
3/26/1916,4317.5,8509.29,236452,236452,11.8,2010900,0
3/27/1916,4318.2,8645.53,242456,242456,12.1,2010900,0
3/28/1916,4319.1,8820.7,250316,250316,12.4,2010900,0
3/29/1916,4318.9,8781.77,248556,248556,12.4,2010900,0
3/30/1916,4319.1,8820.7,250316,250316,12.4,2010900,0
3/31/1916,4319.3,8859.62,252084,252084,12.5,2010900,0
4/1/1916,4319.9,8976.4,257435,257435,12.8,2010900,0
4/2/1916,4320.4,9066.54,261946,261946,13,2010900,0
4/3/1916,4320.7,9119.61,264674,264674,13.2,2010900,0
4/4/1916,4321.3,9225.76,270178,270178,13.4,2010900,0
4/5/1916,4321.7,9296.53,273882,273882,13.6,2010900,0
4/6/1916,4321.9,9331.91,275745,275745,13.7,2010900,0
4/7/1916,4322.4,9422.19,280433,280433,13.9,2010900,0
4/8/1916,4322.9,9512.93,285167,285167,14.2,2010900,0
4/9/1916,4323.4,9603.67,289946,289946,14.4,2010900,0
4/10/1916,4323.6,9639.97,291871,291871,14.5,2010900,0
4/11/1916,4323.8,9676.27,293802,293802,14.6,2010900,0
4/12/1916,4324,9712.56,295741,295741,14.7,2010900,0
4/13/1916,4324.3,9774.78,298664,298664,14.9,2010900,0
4/14/1916,4324.4,9795.51,299643,299643,14.9,2010900,0
4/15/1916,4324.5,9816.24,300623,300623,14.9,2010900,0
4/16/1916,4324.7,9857.71,302591,302591,15,2010900,0
4/17/1916,4324.8,9878.44,303578,303578,15.1,2010900,0
