# ---------------------------------- WARNING ----------------------------------------,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,
# for any damages resulting from its use.,,,,,,,
#,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,
#,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,
#,,,,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,,,,
# retrieved: 2023-04-02 23:27:29 EDT       (nadww02),,,,,,,
#,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,
"#    USGS 08359500 RIO GRANDE AT NARROWS IN ELEPHANT BUTTE RES., NM",,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,
#,,,,,,,
# Data provided for site 08359500,,,,,,,
#            TS   parameter     Description,,,,,,,
"#        101298       00060     Discharge, cubic feet per second",,,,,,,
#,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,
#     e  Value has been estimated.,,,,,,,
# ,,,,,,,
agency_cd,site_no,date,tz_cd,datetime,101298_00060,101298_00060_cd,
USGS,8359500,7/1/2021,0:00,7/1/21 0:00,MDT,112,A
USGS,8359500,7/1/2021,0:15,7/1/21 0:15,MDT,112,A
USGS,8359500,7/1/2021,0:30,7/1/21 0:30,MDT,112,A
USGS,8359500,7/1/2021,0:45,7/1/21 0:45,MDT,112,A
USGS,8359500,7/1/2021,1:00,7/1/21 1:00,MDT,112,A
USGS,8359500,7/1/2021,1:15,7/1/21 1:15,MDT,112,A
USGS,8359500,7/1/2021,1:30,7/1/21 1:30,MDT,112,A
USGS,8359500,7/1/2021,1:45,7/1/21 1:45,MDT,112,A
USGS,8359500,7/1/2021,2:00,7/1/21 2:00,MDT,112,A
USGS,8359500,7/1/2021,2:15,7/1/21 2:15,MDT,112,A
USGS,8359500,7/1/2021,2:30,7/1/21 2:30,MDT,112,A
USGS,8359500,7/1/2021,2:45,7/1/21 2:45,MDT,112,A
USGS,8359500,7/1/2021,3:00,7/1/21 3:00,MDT,113,A
USGS,8359500,7/1/2021,3:15,7/1/21 3:15,MDT,113,A
USGS,8359500,7/1/2021,3:30,7/1/21 3:30,MDT,113,A
USGS,8359500,7/1/2021,3:45,7/1/21 3:45,MDT,113,A
USGS,8359500,7/1/2021,4:00,7/1/21 4:00,MDT,113,A
USGS,8359500,7/1/2021,4:15,7/1/21 4:15,MDT,113,A
USGS,8359500,7/1/2021,4:30,7/1/21 4:30,MDT,113,A
USGS,8359500,7/1/2021,4:45,7/1/21 4:45,MDT,113,A
USGS,8359500,7/1/2021,5:00,7/1/21 5:00,MDT,115,A
USGS,8359500,7/1/2021,5:15,7/1/21 5:15,MDT,115,A
USGS,8359500,7/1/2021,5:30,7/1/21 5:30,MDT,115,A
USGS,8359500,7/1/2021,5:45,7/1/21 5:45,MDT,115,A
USGS,8359500,7/1/2021,6:00,7/1/21 6:00,MDT,115,A
USGS,8359500,7/1/2021,6:15,7/1/21 6:15,MDT,115,A
USGS,8359500,7/1/2021,6:30,7/1/21 6:30,MDT,117,A
USGS,8359500,7/1/2021,6:45,7/1/21 6:45,MDT,115,A
USGS,8359500,7/1/2021,7:00,7/1/21 7:00,MDT,117,A
USGS,8359500,7/1/2021,7:15,7/1/21 7:15,MDT,117,A
USGS,8359500,7/1/2021,7:30,7/1/21 7:30,MDT,117,A
USGS,8359500,7/1/2021,7:45,7/1/21 7:45,MDT,117,A
USGS,8359500,7/1/2021,8:00,7/1/21 8:00,MDT,119,A
USGS,8359500,7/1/2021,8:15,7/1/21 8:15,MDT,119,A
USGS,8359500,7/1/2021,8:30,7/1/21 8:30,MDT,117,A
USGS,8359500,7/1/2021,8:45,7/1/21 8:45,MDT,117,A
USGS,8359500,7/1/2021,9:00,7/1/21 9:00,MDT,117,A
USGS,8359500,7/1/2021,9:15,7/1/21 9:15,MDT,119,A
USGS,8359500,7/1/2021,9:30,7/1/21 9:30,MDT,119,A
USGS,8359500,7/1/2021,9:45,7/1/21 9:45,MDT,119,A
USGS,8359500,7/1/2021,10:00,7/1/21 10:00,MDT,119,A
USGS,8359500,7/1/2021,10:15,7/1/21 10:15,MDT,119,A
USGS,8359500,7/1/2021,10:30,7/1/21 10:30,MDT,119,A
USGS,8359500,7/1/2021,10:45,7/1/21 10:45,MDT,119,A
USGS,8359500,7/1/2021,11:00,7/1/21 11:00,MDT,119,A
USGS,8359500,7/1/2021,11:15,7/1/21 11:15,MDT,119,A
USGS,8359500,7/1/2021,11:30,7/1/21 11:30,MDT,119,A
USGS,8359500,7/1/2021,11:45,7/1/21 11:45,MDT,119,A
USGS,8359500,7/1/2021,12:00,7/1/21 12:00,MDT,119,A
USGS,8359500,7/1/2021,12:15,7/1/21 12:15,MDT,119,A
USGS,8359500,7/1/2021,12:30,7/1/21 12:30,MDT,121,A
USGS,8359500,7/1/2021,12:45,7/1/21 12:45,MDT,119,A
USGS,8359500,7/1/2021,13:00,7/1/21 13:00,MDT,119,A
USGS,8359500,7/1/2021,13:15,7/1/21 13:15,MDT,119,A
USGS,8359500,7/1/2021,13:30,7/1/21 13:30,MDT,119,A
USGS,8359500,7/1/2021,13:45,7/1/21 13:45,MDT,119,A
USGS,8359500,7/1/2021,14:00,7/1/21 14:00,MDT,119,A
USGS,8359500,7/1/2021,14:15,7/1/21 14:15,MDT,117,A
USGS,8359500,7/1/2021,14:30,7/1/21 14:30,MDT,119,A
USGS,8359500,7/1/2021,14:45,7/1/21 14:45,MDT,117,A
USGS,8359500,7/1/2021,15:00,7/1/21 15:00,MDT,119,A
USGS,8359500,7/1/2021,15:15,7/1/21 15:15,MDT,117,A
USGS,8359500,7/1/2021,15:30,7/1/21 15:30,MDT,117,A
USGS,8359500,7/1/2021,15:45,7/1/21 15:45,MDT,117,A
USGS,8359500,7/1/2021,16:00,7/1/21 16:00,MDT,117,A
USGS,8359500,7/1/2021,16:15,7/1/21 16:15,MDT,117,A
USGS,8359500,7/1/2021,16:30,7/1/21 16:30,MDT,117,A
USGS,8359500,7/1/2021,16:45,7/1/21 16:45,MDT,117,A
USGS,8359500,7/1/2021,17:00,7/1/21 17:00,MDT,117,A
USGS,8359500,7/1/2021,17:15,7/1/21 17:15,MDT,117,A
USGS,8359500,7/1/2021,17:30,7/1/21 17:30,MDT,117,A
USGS,8359500,7/1/2021,17:45,7/1/21 17:45,MDT,117,A
USGS,8359500,7/1/2021,18:00,7/1/21 18:00,MDT,117,A
USGS,8359500,7/1/2021,18:15,7/1/21 18:15,MDT,119,A
USGS,8359500,7/1/2021,18:30,7/1/21 18:30,MDT,117,A
USGS,8359500,7/1/2021,18:45,7/1/21 18:45,MDT,119,A
USGS,8359500,7/1/2021,19:00,7/1/21 19:00,MDT,119,A
USGS,8359500,7/1/2021,19:15,7/1/21 19:15,MDT,121,A
USGS,8359500,7/1/2021,19:30,7/1/21 19:30,MDT,121,A
USGS,8359500,7/1/2021,19:45,7/1/21 19:45,MDT,121,A
USGS,8359500,7/1/2021,20:00,7/1/21 20:00,MDT,121,A
USGS,8359500,7/1/2021,20:15,7/1/21 20:15,MDT,123,A
USGS,8359500,7/1/2021,20:30,7/1/21 20:30,MDT,123,A
USGS,8359500,7/1/2021,20:45,7/1/21 20:45,MDT,123,A
USGS,8359500,7/1/2021,21:00,7/1/21 21:00,MDT,123,A
