# ---------------------------------- WARNING ----------------------------------------,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,
# for any damages resulting from its use.,,,,,,,,
#,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,
#,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,
#,,,,,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,,,,,
# retrieved: 2023-03-31 15:49:34 EDT       (vaww01),,,,,,,,
#,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,
"#    USGS 08358400 RIO GRANDE FLOODWAY AT SAN MARCIAL, NM",,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,
#,,,,,,,,
# Data provided for site 08358400,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,
"#        226665       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)",,,,,,,,
"#        226666       80155     00003     Suspended sediment discharge, short tons per day (Mean)",,,,,,,,
"#         99945       00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,
#,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,
#        ,,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=08358400&ts_ids=99945],,,,,,,,
#     e  Value has been estimated.,,,,,,,,
# ,,,,,,,,
agency_cd,site_no,datetime,226665_80154_00003,226665_80154_00003_cd,226666_80155_00003,226666_80155_00003_cd,99945_00060_00003,99945_00060_00003_cd
5s,15s,20d,14n,10s,14n,10s,14n,10s
USGS,8358400,1/1/1957,0,A,0,A,0,A
USGS,8358400,1/2/1957,0,A,0,A,0,A
USGS,8358400,1/3/1957,0,A,0,A,0,A
USGS,8358400,1/4/1957,0,A,0,A,0,A
USGS,8358400,1/5/1957,0,A,0,A,0,A
USGS,8358400,1/6/1957,0,A,0,A,0,A
USGS,8358400,1/7/1957,0,A,0,A,0,A
USGS,8358400,1/8/1957,0,A,0,A,0,A
USGS,8358400,1/9/1957,0,A,0,A,0,A
USGS,8358400,1/10/1957,0,A,0,A,0,A
USGS,8358400,1/11/1957,0,A,0,A,0,A
USGS,8358400,1/12/1957,0,A,0,A,0,A
USGS,8358400,1/13/1957,0,A,0,A,0,A
USGS,8358400,1/14/1957,0,A,0,A,0,A
USGS,8358400,1/15/1957,0,A,0,A,0,A
USGS,8358400,1/16/1957,0,A,0,A,0,A
USGS,8358400,1/17/1957,0,A,0,A,0,A
USGS,8358400,1/18/1957,0,A,0,A,0,A
USGS,8358400,1/19/1957,0,A,0,A,0,A
USGS,8358400,1/20/1957,0,A,0,A,0,A
USGS,8358400,1/21/1957,0,A,0,A,0,A
USGS,8358400,1/22/1957,0,A,0,A,0,A
USGS,8358400,1/23/1957,0,A,0,A,0,A
USGS,8358400,1/24/1957,0,A,0,A,0,A
USGS,8358400,1/25/1957,0,A,0,A,0,A
USGS,8358400,1/26/1957,0,A,0,A,0,A
USGS,8358400,1/27/1957,0,A,0,A,0,A
USGS,8358400,1/28/1957,0,A,0,A,0,A
USGS,8358400,1/29/1957,0,A,0,A,0,A
USGS,8358400,1/30/1957,0,A,0,A,0,A
USGS,8358400,1/31/1957,0,A,0,A,0,A
USGS,8358400,2/1/1957,0,A,0,A,0,A
USGS,8358400,2/2/1957,0,A,0,A,0,A
USGS,8358400,2/3/1957,0,A,0,A,0,A
USGS,8358400,2/4/1957,0,A,0,A,0,A
