agency_cd,site_no,datetime,Mean SSC (mg/l),Mean SSD (t/d),Mean Qw (cfs)
USGS,8358400,1/1/1957,0,0,0
USGS,8358400,1/2/1957,0,0,0
USGS,8358400,1/3/1957,0,0,0
USGS,8358400,1/4/1957,0,0,0
USGS,8358400,1/5/1957,0,0,0
USGS,8358400,1/6/1957,0,0,0
USGS,8358400,1/7/1957,0,0,0
USGS,8358400,1/8/1957,0,0,0
USGS,8358400,1/9/1957,0,0,0
USGS,8358400,1/10/1957,0,0,0
USGS,8358400,1/11/1957,0,0,0
USGS,8358400,1/12/1957,0,0,0
USGS,8358400,1/13/1957,0,0,0
USGS,8358400,1/14/1957,0,0,0
USGS,8358400,1/15/1957,0,0,0
USGS,8358400,1/16/1957,0,0,0
USGS,8358400,1/17/1957,0,0,0
USGS,8358400,1/18/1957,0,0,0
USGS,8358400,1/19/1957,0,0,0
USGS,8358400,1/20/1957,0,0,0
USGS,8358400,1/21/1957,0,0,0
USGS,8358400,1/22/1957,0,0,0
USGS,8358400,1/23/1957,0,0,0
USGS,8358400,1/24/1957,0,0,0
USGS,8358400,1/25/1957,0,0,0
USGS,8358400,1/26/1957,0,0,0
USGS,8358400,1/27/1957,0,0,0
USGS,8358400,1/28/1957,0,0,0
USGS,8358400,1/29/1957,0,0,0
USGS,8358400,1/30/1957,0,0,0
USGS,8358400,1/31/1957,0,0,0
USGS,8358400,2/1/1957,0,0,0
USGS,8358400,2/2/1957,0,0,0
USGS,8358400,2/3/1957,0,0,0
USGS,8358400,2/4/1957,0,0,0
USGS,8358400,2/5/1957,0,0,0
USGS,8358400,2/6/1957,0,0,0
USGS,8358400,2/7/1957,0,0,0
USGS,8358400,2/8/1957,0,0,0
USGS,8358400,2/9/1957,0,0,0
USGS,8358400,2/10/1957,0,0,0
USGS,8358400,2/11/1957,0,0,0
USGS,8358400,2/12/1957,0,0,0
USGS,8358400,2/13/1957,0,0,0
USGS,8358400,2/14/1957,0,0,0
USGS,8358400,2/15/1957,0,0,0
USGS,8358400,2/16/1957,0,0,0
USGS,8358400,2/17/1957,0,0,0
USGS,8358400,2/18/1957,0,0,0
USGS,8358400,2/19/1957,0,0,0
USGS,8358400,2/20/1957,0,0,0
USGS,8358400,2/21/1957,0,0,0
USGS,8358400,2/22/1957,0,0,0
USGS,8358400,2/23/1957,0,0,0
USGS,8358400,2/24/1957,0,0,0
USGS,8358400,2/25/1957,0,0,0
USGS,8358400,2/26/1957,0,0,0
USGS,8358400,2/27/1957,0,0,0
USGS,8358400,2/28/1957,0,0,0
USGS,8358400,3/1/1957,0,0,0
USGS,8358400,3/2/1957,0,0,0
USGS,8358400,3/3/1957,0,0,0
USGS,8358400,3/4/1957,0,0,0
USGS,8358400,3/5/1957,0,0,0
USGS,8358400,3/6/1957,0,0,0
USGS,8358400,3/7/1957,0,0,0
USGS,8358400,3/8/1957,0,0,0
USGS,8358400,3/9/1957,0,0,0
USGS,8358400,3/10/1957,0,0,0
USGS,8358400,3/11/1957,0,0,0
USGS,8358400,3/12/1957,0,0,0
USGS,8358400,3/13/1957,0,0,0
USGS,8358400,3/14/1957,0,0,0
USGS,8358400,3/15/1957,0,0,0
USGS,8358400,3/16/1957,0,0,0
USGS,8358400,3/17/1957,0,0,0
USGS,8358400,3/18/1957,0,0,0
USGS,8358400,3/19/1957,0,0,0
USGS,8358400,3/20/1957,0,0,0
USGS,8358400,3/21/1957,0,0,0
USGS,8358400,3/22/1957,0,0,0
USGS,8358400,3/23/1957,0,0,0
USGS,8358400,3/24/1957,0,0,0
USGS,8358400,3/25/1957,0,0,0
USGS,8358400,3/26/1957,0,0,0
USGS,8358400,3/27/1957,0,0,0
USGS,8358400,3/28/1957,0,0,0
USGS,8358400,3/29/1957,0,0,0
USGS,8358400,3/30/1957,0,0,0
USGS,8358400,3/31/1957,0,0,0
USGS,8358400,4/1/1957,0,0,0
USGS,8358400,4/2/1957,0,0,0
USGS,8358400,4/3/1957,0,0,0
USGS,8358400,4/4/1957,0,0,0
USGS,8358400,4/5/1957,0,0,0
USGS,8358400,4/6/1957,0,0,0
USGS,8358400,4/7/1957,0,0,0
USGS,8358400,4/8/1957,0,0,0
USGS,8358400,4/9/1957,0,0,0
USGS,8358400,4/10/1957,0,0,0
USGS,8358400,4/11/1957,0,0,0
USGS,8358400,4/12/1957,0,0,0
USGS,8358400,4/13/1957,0,0,0
USGS,8358400,4/14/1957,0,0,0
USGS,8358400,4/15/1957,0,0,0
USGS,8358400,4/16/1957,0,0,0
USGS,8358400,4/17/1957,0,0,0
USGS,8358400,4/18/1957,0,0,0
USGS,8358400,4/19/1957,0,0,0
USGS,8358400,4/20/1957,0,0,0
USGS,8358400,4/21/1957,0,0,0
USGS,8358400,4/22/1957,0,0,0
USGS,8358400,4/23/1957,0,0,0
USGS,8358400,4/24/1957,0,0,0
USGS,8358400,4/25/1957,0,0,0
USGS,8358400,4/26/1957,0,0,0
USGS,8358400,4/27/1957,0,0,0
USGS,8358400,4/28/1957,0,0,0
USGS,8358400,4/29/1957,0,0,0
USGS,8358400,4/30/1957,0,0,0
USGS,8358400,5/1/1957,0,0,0
USGS,8358400,5/2/1957,0,0,0
USGS,8358400,5/3/1957,0,0,0
USGS,8358400,5/4/1957,0,0,0
USGS,8358400,5/5/1957,0,0,0
USGS,8358400,5/6/1957,0,0,0
USGS,8358400,5/7/1957,0,0,0
USGS,8358400,5/8/1957,0,0,0
USGS,8358400,5/9/1957,0,0,0
USGS,8358400,5/10/1957,0,0,0
USGS,8358400,5/11/1957,4800,3090,145
USGS,8358400,5/12/1957,4250,12900,1180
USGS,8358400,5/13/1957,3250,13000,1480
USGS,8358400,5/14/1957,2700,9190,1260
USGS,8358400,5/15/1957,2900,14900,1900
USGS,8358400,5/16/1957,2780,16800,2240
USGS,8358400,5/17/1957,2390,12600,1960
USGS,8358400,5/18/1957,2090,9480,1680
USGS,8358400,5/19/1957,1980,7590,1420
USGS,8358400,5/20/1957,2100,7140,1260
USGS,8358400,5/21/1957,1910,7070,1370
USGS,8358400,5/22/1957,1890,7250,1420
USGS,8358400,5/23/1957,1850,6890,1380
USGS,8358400,5/24/1957,1920,7150,1380
USGS,8358400,5/25/1957,1690,6620,1450
USGS,8358400,5/26/1957,1500,5670,1400
USGS,8358400,5/27/1957,1520,5540,1350
USGS,8358400,5/28/1957,1450,5170,1320
USGS,8358400,5/29/1957,1860,6130,1220
USGS,8358400,5/30/1957,1640,4690,1060
USGS,8358400,5/31/1957,2070,5700,1020
USGS,8358400,6/1/1957,1910,5670,1100
USGS,8358400,6/2/1957,1820,6240,1270
USGS,8358400,6/3/1957,1850,7190,1440
USGS,8358400,6/4/1957,2080,10500,1870
USGS,8358400,6/5/1957,3050,19900,2420
USGS,8358400,6/6/1957,3760,23700,2330
